Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00000	29	5.70126	0.755618	0.773361	0.754339
train_model_raytune_056a6_00001	29	5.28277	0.773614	0.783087	0.772236
train_model_raytune_056a6_00002	29	5.23969	0.772964	0.776781	0.772964
train_model_raytune_056a6_00003	9	5.59974	0.754019	0.767547	0.754019
train_model_raytune_056a6_00004	9	5.859	0.745618	0.745586	0.745618
train_model_raytune_056a6_00005	9	6.16695	0.740158	0.74417	0.740158
train_model_raytune_056a6_00006	9	6.11383	0.733499	0.73976	0.733499
train_model_raytune_056a6_00007	19	5.54012	0.758755	0.767548	0.758755
train_model_raytune_056a6_00008	29	5.26317	0.772047	0.770981	0.772047
train_model_raytune_056a6_00009	9	5.84453	0.747076	0.749891	0.747076
train_model_raytune_056a6_00010	9	5.856	0.739693	0.748256	0.739693
train_model_raytune_056a6_00011	29	5.29846	0.771249	0.787284	0.769274
train_model_raytune_056a6_00012	19	5.46541	0.766001	0.779232	0.765866
train_model_raytune_056a6_00013	19	5.42869	0.7661	0.78323	0.766036
train_model_raytune_056a6_00014	29	5.29945	0.771456	0.786408	0.771319
train_model_raytune_056a6_00015	9	6.16104	0.733456	0.740111	0.733456
train_model_raytune_056a6_00016	19	5.54472	0.758701	0.779234	0.758593
train_model_raytune_056a6_00017	9	6.18921	0.735582	0.748364	0.728791
train_model_raytune_056a6_00018	9	9.86282	0.447682	0.442413	0.441795
train_model_raytune_056a6_00019	9	6.09501	0.732437	0.743722	0.732437
train_model_raytune_056a6_00020	9	6.53198	0.706688	0.717541	0.706688
train_model_raytune_056a6_00021	19	5.48413	0.764478	0.768058	0.761846
train_model_raytune_056a6_00022	19	5.61782	0.760562	0.757758	0.759489
train_model_raytune_056a6_00023	9	7.10393	0.642532	0.611262	0.642532
train_model_raytune_056a6_00024	19	5.51357	0.76164	0.770167	0.76164
train_model_raytune_056a6_00025	9	6.05674	0.735624	0.733961	0.735624
train_model_raytune_056a6_00026	29	5.24192	0.775205	0.775593	0.775205
train_model_raytune_056a6_00027	9	5.67401	0.750609	0.76491	0.750609
train_model_raytune_056a6_00028	29	5.23915	0.775593	0.789915	0.775593
train_model_raytune_056a6_00029	9	5.75215	0.748593	0.75644	0.748593
train_model_raytune_056a6_00030	9	5.84672	0.742525	0.755361	0.742525
train_model_raytune_056a6_00031	29	5.33269	0.769457	0.778787	0.76917
train_model_raytune_056a6_00032	19	5.53649	0.762373	0.765341	0.762373
train_model_raytune_056a6_00033	29	5.32771	0.771255	0.772879	0.771255
train_model_raytune_056a6_00034	9	5.72262	0.752994	0.771416	0.751424
train_model_raytune_056a6_00035	29	5.01543	0.783179	0.795128	0.783179
train_model_raytune_056a6_00036	9	5.84176	0.746018	0.749878	0.746018
train_model_raytune_056a6_00037	9	5.75093	0.748144	0.747928	0.748144
train_model_raytune_056a6_00038	29	5.25182	0.77166	0.785019	0.771118
train_model_raytune_056a6_00039	9	5.75606	0.751065	0.777299	0.751065
train_model_raytune_056a6_00040	19	5.48322	0.761093	0.778446	0.760095
train_model_raytune_056a6_00041	29	5.05676	0.781185	0.78722	0.781185
train_model_raytune_056a6_00042	19	5.56005	0.759956	0.786181	0.75995
train_model_raytune_056a6_00043	29	4.92486	0.787912	0.794627	0.787657
train_model_raytune_056a6_00044	19	5.48017	0.765414	0.771679	0.763959
train_model_raytune_056a6_00045	19	5.39736	0.767565	0.784231	0.766028
train_model_raytune_056a6_00046	9	5.82581	0.747956	0.751355	0.747956
train_model_raytune_056a6_00047	9	6.11496	0.729133	0.732794	0.729133
train_model_raytune_056a6_00048	9	5.8452	0.744674	0.748876	0.744674
train_model_raytune_056a6_00049	29	5.34376	0.768861	0.770289	0.768525
train_model_raytune_056a6_00050	29	5.07816	0.779486	0.793046	0.779486
train_model_raytune_056a6_00051	9	6.18549	0.730052	0.748147	0.730052
train_model_raytune_056a6_00052	9	5.8915	0.744021	0.741149	0.744021
train_model_raytune_056a6_00053	29	5.22957	0.77473	0.775412	0.774126
train_model_raytune_056a6_00054	29	5.34498	0.773863	0.793549	0.771807
train_model_raytune_056a6_00055	9	6.03268	0.736621	0.732499	0.736621
train_model_raytune_056a6_00056	29	5.18516	0.776507	0.788628	0.776001
train_model_raytune_056a6_00057	9	6.30201	0.715737	0.749712	0.715737
train_model_raytune_056a6_00058	9	5.93916	0.740554	0.747081	0.740554
train_model_raytune_056a6_00059	19	5.48975	0.762416	0.769388	0.762416
train_model_raytune_056a6_00060	9	6.05393	0.733574	0.748803	0.733213
train_model_raytune_056a6_00061	29	5.40772	0.769276	0.77952	0.76594
train_model_raytune_056a6_00062	9	5.66157	0.752347	0.758087	0.752347
train_model_raytune_056a6_00063	9	5.99899	0.746921	0.753331	0.744315
train_model_raytune_056a6_00064	9	36.7885	0.743805	0.740882	0.743805
train_model_raytune_056a6_00065	19	5.55159	0.763177	0.765353	0.761325
train_model_raytune_056a6_00066	29	5.30035	0.773435	0.778999	0.772325
train_model_raytune_056a6_00067	9	5.74155	0.751847	0.763258	0.751681
train_model_raytune_056a6_00068	19	5.4635	0.765426	0.775573	0.765426
train_model_raytune_056a6_00069	9	5.73889	0.750576	0.748707	0.750576
train_model_raytune_056a6_00070	29	5.28015	0.772506	0.77872	0.772506
train_model_raytune_056a6_00071	9	5.73677	0.748447	0.749632	0.748447
train_model_raytune_056a6_00072	19	5.53391	0.760587	0.765799	0.760421
train_model_raytune_056a6_00073	19	5.48191	0.766729	0.7689	0.76492
train_model_raytune_056a6_00074	29	5.33207	0.776173	0.795327	0.770243
train_model_raytune_056a6_00075	19	5.45071	0.764258	0.769113	0.764136
